_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
26828,TRIVENI OVERSEAS CONCERN,Kathmandu,Private,2059
26829,NEPAL INTERNATIONAL MEDICAL CENTER,Kathmandu,Private,2059
26830,MAYADEVI ENGLISH SCHOOL,Nawalparasi,Private,2059
26831,ILAM TEA GARDEN ENGLISH SCHOOL PVT.,Ilam,Private,2059
26832,ILAM SIDDHARTHA ENGLISH SCHOOL PVT.,Ilam,Private,2059
26833,ILAM NAWA PRATIVA ACADEMY,Ilam,Private,2059
26834,SWABHIMAN ENGLISH BOARDING SCHOOL SYANGJA,Syangja,Private,2059
26835,GYANODAYA ANGREJI AWASIYA VIDHYALAYA,Syangja,Private,2059
26836,THE NEW BUD SWATHI ENGLISH SCHOOL,Nawalparasi,Private,2059
26837,ILAM B.B. MEMORIAL AWASIYA MA.VI. PVT.,Ilam,Private,2059
26838,ILAM SAI JYOTI ANGREJI BOARDING SCHOOL PVT,Ilam,Private,2059
26839,ILAM KANKAI ANGREJI AWASIYA MA.VI. PVT.,Ilam,Private,2059
26840,ILAM MOUNT MECHI SECONDARY PVT.,Ilam,Private,2059
26841,ILAM SHUBVAKANYA ANGREJI SCHOOL,Ilam,Private,2059
26842,ILAM NEW SUNRISE BOARDING SCHOOL PVT.,Ilam,Private,2059
26843,BHAKTAPUR MOUNT VALLEY ENGLISH SECONDARY SCHOOL,Bhaktapur,Private,2059
26844,NEIGHBOURHOOD SECONDARY ENGLISH SCHOOL,Kathmandu,Private,2059
26845,ILAM ARUNODAYA AWASIYA MA.VI.,Ilam,Private,2059
26846,Puspasadan Academy Kaski,Kaski,Private,2059
26847,Bright Heaven Boarding High School Kathmandu,Kathmandu,Private,2059
26848,ASIAN CROPS,Kathmandu,Private,2059
26849,LITTLE STEP ENGLISH BOARDING SCHOOL,Syangja,Private,2059
26850,ILAM SURYADAYA SHIKCHHYA SADAN PVT.,Ilam,Private,2059
26851,MANGAL EXPORT & EMPORT,Kathmandu,Private,2059
26852,shrijanshil english secondary school,Ilam,Private,2059
26853,SHREE CHANDIKALIKA ANGREJI SCHOOL SYANGJA,Syangja,Private,2059
26854,ILAM GOLDEN FUTURE ENGLISH SCHOOL PVT.,Ilam,Private,2059
26855,ILAM PEACE LAND NATIONAL ACADEMY PVT.,Ilam,Private,2059
26856,MOUNT EVEREST ENGLISH MEDIUM SCHOOL SURKHET,Surkhet,Private,2059
26857,ILAM HIMALAYAN AWASIYA MA.VI. PVT.,Ilam,Private,2059
26858,DOLPHIN ENGLISH SCHOOL,Lalitpur,Private,2059
26859,ILAM JANAVIDHYA SHREE KISAN ANGREJI VIDHYALAY,Ilam,Private,2059
26860,THE HIMAL ENGLISH BOARDING SCHOOL SIRAHA,Siraha,Private,2059
26861,ILAM LALI GURASH ENGLISH SCHOOL,Ilam,Private,2059
26862,Blooms Academy,Kathmandu,Private,2059
26863,ILAM GREENLAND INTERNATIONAL ACADEMY PVT.,Ilam,Private,2059
26864,"HIMALAYAN ENGLISH SCHOOL, BHAKTAPUR",Bhaktapur,Private,2059
26865,ILAM EAST POINT ENGLISH SCHOOL PVT.,Ilam,Private,2059
26866,St. AUGUSTINE ACADEMIC FOUNDATION,Ilam,Private,2059
26867,ILAM MOUNT CHHINTAPU ENGLISH SCHOOL PVT.,Ilam,Private,2059
26868,MAI POKHARI ACADEMY PVT.,Ilam,Private,2059
26869,DIVYA JYOTI ENGLISH SCHOOL LALITPUR,Lalitpur,Private,2059
26870,"DADHIKOT ENGLISH SCHOOL,",Bhaktapur,Private,2059
26871,Sushumna English School,Ilam,Private,2059
26872,ILAM SNOWVIEW ANGREJI VIDHYALAYA,Ilam,Private,2059
26873,ILAM BRIGHT FUTURE ENGLISH BOARDING SCHOOL PV,Ilam,Private,2059
26874,Ilam Pashupati National Academy,Ilam,Private,2059
26875,ILAM SUNKHARI ENGLISH SCHOOL PVT.,Ilam,Private,2059
26876,ILAM SHANTI VIDHYA MANDIR PVT.,Ilam,Private,2059
26877,ILAM SAGARMATHA ANGREJI VIDDYALAYA,Ilam,Private,2059
