_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
339,Jaya Bhawani Housing & Construction Company,Kathmandu,Private,2065
340,Western Medical Center,Kathmandu,Private,2065
341,Deluxe Convention Center,Lalitpur,Private,2065
342,World Buddhist Handicraft Industries,District not known,Private,2065
343,Sports & Nature Couriers,Kathmandu,Private,2065
344,Pythagoras Education Institute & Consultancy,Kaski,Private,2065
345,Joshipur Heaven Garden Boarding School,Kailali,Private,2065
346,Troika International,Lalitpur,Private,2065
347,Gaurab Integrated Development Associates Nepal,Bhaktapur,Private,2065
348,Sunil Enterprises,Rupandehi,Private,2065
349,Reshma Furniture Udhyog,Kathmandu,Private,2065
350,Betrawati Hydro Electric Company,Kathmandu,Public,2065
351,Mustang Education & Technical Institute,Lalitpur,Private,2065
352,Shangrila Adventures,Kathmandu,Private,2065
353,Open Sky Treks and Expedition,Kathmandu,Private,2065
354,Global Unique Sub Money Transfer,Kathmandu,Private,2065
355,Bishwa Jyoti Academy,Surkhet,Private,2065
356,Amar Jyoti Hydropower,Lalitpur,Private,2065
357,Advocate Service Network,Kathmandu,Private,2065
358,Kritipur Housing Company,Kathmandu,Private,2065
359,Pristine Mountain Adventure,Kaski,Private,2065
360,Bageswari Training and Consultancy,Banke,Private,2065
361,Polaris Consultancy,Kathmandu,Private,2065
362,A Team Audio Video Production,Kathmandu,Private,2065
363,Jewel Advertising and Marketing,Kathmandu,Private,2065
364,Himalayan Tea Estate Siranchowk Gorkha,Kathmandu,Private,2065
365,Chomolungma Training and Consultancy,Kathmandu,Private,2065
366,Green Way Education Nepal,Kathmandu,Private,2065
367,Beni Shiksha Sadan School,Dhading,Private,2065
368,Sahayogi Housing & Development,Kathmandu,Private,2065
369,Jyoti Bikash Bank,Kathmandu,Public,2065
370,Angel and Aman Enterprises,Kathmandu,Private,2065
371,Juna Devi English Boarding School,Gorkha,Private,2065
372,Rohit Enterprises,Kathmandu,Private,2065
373,Castle Sub Money Transfer,Kathmandu,Private,2065
374,I.A.O. Consultancy,District not known,Private,2065
375,Shuva Prava Motor Driving Training Center,Kathmandu,Private,2065
376,Yujin International Educational,Kathmandu,Private,2065
377,Takshashila Academy Banke,Banke,Private,2065
378,Himalayan Route Trading,Kathmandu,Private,2065
379,Zenether Technologies,Lalitpur,Private,2065
380,Host And Site,Lalitpur,Private,2065
381,Tsubasa Consultant,Kathmandu,Private,2065
382,Creators Nepal I.T. Solutions,Kathmandu,Private,2065
383,Prime Medico,Kathmandu,Private,2065
384,P.K. Property Dealers,Kathmandu,Private,2065
385,Golden Park Academy,District not known,Private,2065
386,Biratnagar Aspataal,District not known,Private,2065
387,Bipana Training Link,Rupandehi,Private,2065
388,Brothers Entertainment,Kathmandu,Private,2065
389,Triyuga Training Solution,Udayapur,Private,2065
390,Wisdom Institute And Hotel Training Centre,Kathmandu,Private,2065
391,Empire International Travels And Tours,Kathmandu,Private,2065
392,Dhaulagiri Housing,Kaski,Private,2065
393,Life Dicovery,Kathmandu,Private,2065
394,Siddhartha Gautam Memorial English Boarding School,Kapilvastu,Private,2065
395,Ishu Business Concern,Kathmandu,Private,2065
396,Citizen Offset Press,Kathmandu,Private,2065
397,Manasalu Energy,Kathmandu,Private,2065
398,Sarawoti Bani Educational Academy Rajbiraj,Saptari,Private,2065
399,Zen Construction & Crusher Industries,Tanahun,Private,2065
400,Creative Hands Of Everest,Kathmandu,Private,2065
401,Everest Tenzing Travel & Tours,Jhapa,Private,2065
402,Blue Flag International Consultancy,District not known,Private,2065
403,Ganapati Developers,Bhaktapur,Private,2065
404,Thegim Construction Company,Kailali,Private,2065
405,Smart Telecom,Lalitpur,Private,2065
406,Visa Express,District not known,Private,2065
407,Meditech International Academy,Kathmandu,Private,2065
408,Nepal Nature Luxuary Spa Resort,Kathmandu,Private,2065
409,Uni-Vest Management,Kathmandu,Private,2065
410,Siddhi Laxmi Homes and Investment,District not known,Private,2065
411,China Business Promotion,Kathmandu,Private,2065
412,Apollo International Trade Link,Kathmandu,Private,2065
413,Tourism Nepal,Lalitpur,Private,2065
414,Kali Gandaki Cargo Sewa,Kathmandu,Private,2065
415,Grand Nepal Health Care & Research Center,Lalitpur,Private,2065
416,Sani. Tech. Consulting Engineers,Kathmandu,Private,2065
417,Bhuwar Bhawani English Boarding School,Banke,Private,2065
418,Gyasuli Hydropower Company,Kathmandu,Private,2065
419,K.Two Beverage,Kaski,Private,2065
420,Shanghai Fast Food,Kathmandu,Private,2065
421,Kylin Restaurant,Kathmandu,Private,2065
422,Nepal China Skin Care & Poly Clinic,Lalitpur,Private,2065
423,Interactive Education Services,Kathmandu,Private,2065
424,Professional Construction Development,Kathmandu,Private,2065
425,Jabegu Mountain Travels And Tours,Kathmandu,Private,2065
426,Laxmi Energy,Kathmandu,Private,2065
427,Annapurna Cyber Communication,Kathmandu,Private,2065
428,Satyam Enterprises,Lalitpur,Private,2065
429,K.C. Digital Colour Lab,District not known,Private,2065
430,Express Cosmic Travels Nepal,Kathmandu,Private,2065
431,Good Alliance Overseas,Kathmandu,Private,2065
432,National Center For Communicable Disease,Lalitpur,Private,2065
433,Royal Tech Engineering Consultancy & Housing,Kathmandu,Private,2065
434,Durga Bhagwati English Boarding School,Saptari,Private,2065
435,World Security Force,Morang,Private,2065
436,SAARC Chamber Crafts Village,Kathmandu,Non-Profit Distributing,2065
437,A.D. Business Concern,Kathmandu,Private,2065
438,Myagdi Sapana Guest House & Restaurant,Kathmandu,Private,2065
439,Advance Development Real Estate Company,Lalitpur,Private,2065
440,Delta Seed Company,Lalitpur,Private,2065
441,Home Food,Kathmandu,Private,2065
442,North Human Publication,Kathmandu,Private,2065
443,Chandika Constructions,Kathmandu,Private,2065
444,Vertex Ad. International,Kathmandu,Private,2065
445,Sriganesh M.G. Housing,Kathmandu,Private,2065
446,Sahara Medicine Distributors,Lalitpur,Private,2065
447,Papa's House,Kathmandu,Non-Profit Distributing,2065
448,Araniko Land & Development,Kathmandu,Private,2065
449,Lapa Hydropower Company,Kathmandu,Private,2065
450,Borang Hydropower Company,Kathmandu,Private,2065
451,Falcon Advertising Service,District not known,Private,2065
452,Beijing Xi Ye Housing,District not known,Private,2065
453,Shangrila Unique Rugs & Handicraft,Kathmandu,Private,2065
454,Nepal Nomad Tours,Kathmandu,Private,2065
455,Rishikesh Services,Lalitpur,Private,2065
456,Yulo Hotel,Kathmandu,Private,2065
457,Unique Himalaya Tours and Travels,Kathmandu,Private,2065
458,Prakash Trading,Kathmandu,Private,2065
459,Jaya D.J.S. Construction,Kathmandu,Private,2065
460,Jaya Sundarimai Handicrafts,Kathmandu,Private,2065
461,Chintan Publications and Services,Jhapa,Private,2065
462,Housing & Plotting Concern,Kathmandu,Private,2065
463,Abhash Travels,District not known,Private,2065
464,Millenium Homes,Kathmandu,Private,2065
465,Everest Renewables,Kathmandu,Private,2065
466,Aarya Aroma Industries,Kathmandu,Private,2065
467,Janaki Traders,Lalitpur,Private,2065
468,Kotkali Educational Research Training And Consultancy,Kathmandu,Private,2065
469,Machhapuchchhre Technical Academy,Kathmandu,Private,2065
470,Millenium Multi Solution,Kathmandu,Private,2065
471,SEBO,Kathmandu,Private,2065
472,Shakespeare Educational Foundation,Kathmandu,Private,2065
473,Synergy Pacific Consultants,Kathmandu,Private,2065
474,Shanti Media,Bara,Private,2065
475,K.S.A. Holdings,Kathmandu,Private,2065
476,kantipur digital corp.,Kathmandu,Private,2065
477,Innovate Commercial Enterprises,Kathmandu,Private,2065
478,Binayak Social Service Center,Kathmandu,Private,2065
479,Om Namobuddha Overseas Consultancy and Training Institute,Jhapa,Private,2065
480,Naso Music,Kathmandu,Private,2065
481,Cosmos Hydro Electric Company,Kathmandu,Private,2065
482,Bids Trading,Kathmandu,Private,2065
483,Apil Bista Films Production,Kathmandu,Private,2065
484,Unicity Nepal,Kathmandu,Private,2065
485,Protech Nepal Employment,Kathmandu,Private,2065
486,Perfect Active Solutions,Kathmandu,Private,2065
487,Lapsephedi Hill Side Academy,Kathmandu,Private,2065
488,Modern Nepal Minerals Industries,Kathmandu,Private,2065
489,Bhramarapura Mithila Public School,Mahottari,Private,2065
490,Conquer Heights Treks & Expedition,Kathmandu,Private,2065
491,Kist Education Service Center,Kathmandu,Private,2065
492,Big Plus Consultancy,Kathmandu,Private,2065
493,Impressions,Lalitpur,Private,2065
494,Mountain Celebration Adventure,Kathmandu,Private,2065
495,Rex Career Consultancy For International Education,Rupandehi,Private,2065
496,Great Escape Tours & Travels,Kathmandu,Private,2065
497,Maini Paradise English Boarding School,Sindhuli,Private,2065
498,Gelu Treks & Expedition,Kathmandu,Private,2065
499,Fair Money Changer,Kathmandu,Private,2065
500,I.T. Globlal,Kathmandu,Private,2065
501,Rich Tours & Travels,Kathmandu,Private,2065
502,Safe Names Nepal,Kathmandu,Private,2065
503,Parushree Service Center,Kathmandu,Private,2065
504,Chandeshwari Media Creation,Kavrepalanchowk,Private,2065
505,Dristi Creation,Kathmandu,Private,2065
506,Radiant Realty,Kathmandu,Private,2065
507,Champa Devi Resort,Kathmandu,Private,2065
508,C.G.Motocorp Nepal,Lalitpur,Private,2065
